E0=1.626748	epsilon=0.010000
3.432000	-0.072683
3.444000	-0.071041
3.456000	-0.069427
3.468000	-0.067842
3.480000	-0.066283
3.492000	-0.064752
3.504000	-0.063249
3.516000	-0.061772
3.528000	-0.060321
3.540000	-0.058897
3.552000	-0.057499
3.564000	-0.056127
3.576000	-0.054781
3.588000	-0.053459
3.600000	-0.052163
3.612000	-0.050891
3.624000	-0.049644
3.636000	-0.048421
3.648000	-0.047221
3.660000	-0.046046
3.672000	-0.044893
3.684000	-0.043764
3.696000	-0.042657
3.708000	-0.041573
3.720000	-0.040511
3.732000	-0.039471
3.744000	-0.038452
3.756000	-0.037454
3.768000	-0.036478
3.780000	-0.035522
3.792000	-0.034587
3.804000	-0.033671
3.816000	-0.032776
3.828000	-0.031899
3.840000	-0.031043
3.852000	-0.030205
3.864000	-0.029385
3.876000	-0.028584
3.888000	-0.027801
3.900000	-0.027036
3.912000	-0.026288
3.924000	-0.025557
3.936000	-0.024844
3.948000	-0.024147
3.960000	-0.023466
3.972000	-0.022801
3.984000	-0.022152
3.996000	-0.021518
4.008000	-0.020900
4.020000	-0.020297
4.032000	-0.019708
4.044000	-0.019134
4.056000	-0.018574
4.068000	-0.018027
4.080000	-0.017495
4.092000	-0.016976
4.104000	-0.016469
4.116000	-0.015976
4.128000	-0.015495
4.140000	-0.015027
4.152000	-0.014571
4.164000	-0.014126
4.176000	-0.013693
4.188000	-0.013272
4.200000	-0.012861
4.212000	-0.012462
4.224000	-0.012073
4.236000	-0.011695
4.248000	-0.011327
4.260000	-0.010969
4.272000	-0.010621
4.284000	-0.010282
4.296000	-0.009953
4.308000	-0.009633
4.320000	-0.009321
4.332000	-0.009019
4.344000	-0.008725
4.356000	-0.008439
4.368000	-0.008162
4.380000	-0.007893
4.392000	-0.007631
4.404000	-0.007377
4.416000	-0.007130
4.428000	-0.006891
4.440000	-0.006659
4.452000	-0.006433
4.464000	-0.006214
4.476000	-0.006002
4.488000	-0.005796
4.500000	-0.005597
4.512000	-0.005403
4.524000	-0.005216
4.536000	-0.005034
4.548000	-0.004858
4.560000	-0.004687
4.572000	-0.004521
4.584000	-0.004361
4.596000	-0.004206
4.608000	-0.004056
4.620000	-0.003910
4.632000	-0.003769
4.644000	-0.003633
4.656000	-0.003501
4.668000	-0.003373
4.680000	-0.003250
4.692000	-0.003130
4.704000	-0.003015
4.716000	-0.002903
4.728000	-0.002795
4.740000	-0.002691
4.752000	-0.002590
4.764000	-0.002492
4.776000	-0.002398
4.788000	-0.002307
4.800000	-0.002219
4.812000	-0.002135
4.824000	-0.002053
4.836000	-0.001974
4.848000	-0.001897
4.860000	-0.001824
4.872000	-0.001752
4.884000	-0.001684
4.896000	-0.001618
4.908000	-0.001554
4.920000	-0.001492
4.932000	-0.001433
4.944000	-0.001376
4.956000	-0.001321
4.968000	-0.001268
4.980000	-0.001217
4.992000	-0.001167
5.004000	-0.001120
5.016000	-0.001074
5.028000	-0.001030
5.040000	-0.000988
5.052000	-0.000947
5.064000	-0.000908
5.076000	-0.000870
5.088000	-0.000834
5.100000	-0.000799
5.112000	-0.000765
5.124000	-0.000733
5.136000	-0.000702
5.148000	-0.000672
5.160000	-0.000643
5.172000	-0.000616
5.184000	-0.000589
5.196000	-0.000564
5.208000	-0.000539
5.220000	-0.000516
5.232000	-0.000493
5.244000	-0.000472
5.256000	-0.000451
5.268000	-0.000431
5.280000	-0.000412
5.292000	-0.000393
5.304000	-0.000376
5.316000	-0.000359
5.328000	-0.000343
5.340000	-0.000327
5.352000	-0.000312
5.364000	-0.000298
5.376000	-0.000285
5.388000	-0.000271
5.400000	-0.000259
5.412000	-0.000247
5.424000	-0.000235
5.436000	-0.000224
5.448000	-0.000214
5.460000	-0.000204
5.472000	-0.000194
5.484000	-0.000185
5.496000	-0.000176
5.508000	-0.000168
5.520000	-0.000159
5.532000	-0.000152
5.544000	-0.000144
5.556000	-0.000137
5.568000	-0.000130
5.580000	-0.000124
5.592000	-0.000118
5.604000	-0.000112
5.616000	-0.000106
5.628000	-0.000101
5.640000	-0.000095
5.652000	-0.000091
5.664000	-0.000086
5.676000	-0.000081
5.688000	-0.000077
5.700000	-0.000073
5.712000	-0.000069
5.724000	-0.000065
5.736000	-0.000061
5.748000	-0.000058
5.760000	-0.000054
5.772000	-0.000051
5.784000	-0.000048
5.796000	-0.000045
5.808000	-0.000042
5.820000	-0.000040
5.832000	-0.000037
5.844000	-0.000034
5.856000	-0.000032
5.868000	-0.000030
5.880000	-0.000027
5.892000	-0.000025
5.904000	-0.000023
5.916000	-0.000021
5.928000	-0.000019
5.940000	-0.000017
5.952000	-0.000015
5.964000	-0.000013
5.976000	-0.000011
5.988000	-0.000010
